id	interest_name	facebook_page	facebook_id	url	category	topic	political_bias
18486	"Orasul Timisoara"	"Orasul Timisoara"	357403997614303	http://orasul-timisoara.ro	News & Media Website	News and entertainment	0.0474
18487	"Zenni Optical"	"Zenni Optical"	111282252247080	http://www.zennioptical.com	Website	Business and industry	-0.0981
18488	"X-Men: Evolution"	"X-Men: Evolution"	155650474983429	-	TV Show	News and entertainment	-0.2775
18489	"Rachana Narayanankutty"	""	-	-	Journalist	People	-0.7842
18490	"Makerist"	"Makerist"	1134251709952810	https://www.makerist.com	Website	-	0.4801
18491	"Neuroscience Researchers"	"Neuroscience Researchers"	105435088555	http://www.elsevier.com/	Publisher	People	-0.7724
18492	"Your Health"	""	-	-	Magazine	News and entertainment	0.3182
18493	"Stephen Leather"	"Stephen Leather"	140829689318032	www.stephenleatherbooks.com	Journalist	People	-0.3913
18494	"Tokyo Girls' Update"	"Tokyo Girls' Update"	362336223857437	http://tokyogirlsupdate.com/	News & Media Website	News and entertainment	-0.7350
18495	"Lov i ribolov"	"Lov i ribolov"	191156991095039	-	TV Channel	News and entertainment	-0.4483
